id,time,longitude,latitude,depth,magnitude,place
nc73801601,2022-10-31 07:20:59.600,-121.6805,37.3158333,7.25,2.83,"14km ESE of Alum Rock, CA"
nc73801581,2022-10-31 06:06:32.330,-121.8145,37.6296667,8.56,2.8,"6km SE of Pleasanton, CA"
ci40127463,2022-10-31 04:52:58.560,-117.569,34.3418333,4.35,3.01,"6km ESE of Wrightwood, CA"
ci40127287,2022-10-30 13:24:56.920,-117.3738333,36.5111667,4.9,2.52,"23km WSW of Stovepipe Wells, CA"
ci40127223,2022-10-30 08:16:03.080,-117.2351667,34.0463333,15.17,2.85,"2km E of Loma Linda, CA"
nc73800236,2022-10-28 10:40:37.040,-121.3346667,36.9416667,7.04,2.92,"12km NNE of Hollister, CA"
nc73800056,2022-10-28 02:08:00.260,-118.8613333,37.611,2.54,2.87,"11km ESE of Mammoth Lakes, CA"
nc73799881,2022-10-27 20:35:07.210,-118.8613333,37.6091667,2.61,2.53,"11km ESE of Mammoth Lakes, CA"
ci40366648,2022-10-27 12:01:01.620,-117.4845,35.6548333,2.06,2.62,"14km SSW of Searles Valley, CA"
ci40365968,2022-10-26 08:15:08.220,-116.7423333,33.6378333,13.73,2.75,"11km NW of Anza, CA"
ci40365960,2022-10-26 08:14:35.080,-116.7436667,33.6383333,13.64,2.85,"11km NW of Anza, CA"
nc73799336,2022-10-26 06:24:19.660,-119.534,38.5471667,4.12,3.05,"6km NW of Walker, CA"
nc73799211,2022-10-26 00:20:10.600,-121.6811667,37.3163333,7.98,2.72,"14km ESE of Alum Rock, CA"
nc73799186,2022-10-25 22:08:37.200,-121.6751667,37.3106667,8.05,3.54,"15km E of Seven Trees, CA"
nc73799096,2022-10-25 18:47:20.050,-121.6731667,37.3056667,6.66,2.94,"15km E of Seven Trees, CA"
nc73799091,2022-10-25 18:42:02.710,-121.672,37.3115,8.38,5.06,"15km ESE of Alum Rock, CA"
ci40365304,2022-10-24 23:19:02.470,-116.9996667,33.9898333,15.02,2.66,"5km E of Calimesa, CA"
nc73798496,2022-10-24 06:28:33.550,-122.779,38.7943333,3.35,2.52,"3km NW of The Geysers, CA"
nc73798306,2022-10-23 18:16:23.050,-124.14,40.5781667,28.35,4.1,"3km SSE of Fortuna, CA"
nc73798266,2022-10-23 15:14:11.820,-121.5215,37.1215,6.31,2.65,"9km ENE of San Martin, CA"
ci40364760,2022-10-23 09:24:58.150,-116.4261667,33.4806667,5.79,3.27,"23km SSW of La Quinta, CA"
nc73797716,2022-10-22 01:29:57.340,-124.0748333,40.5906667,24.1,2.61,"5km NNE of Hydesville, CA"
nc73797461,2022-10-21 18:54:22.400,-122.8228333,38.8256667,1.28,2.53,"8km NW of The Geysers, CA"
nc73797401,2022-10-21 18:50:26.600,-122.8171667,38.8333333,1.39,2.78,"8km NW of The Geysers, CA"
nc73797066,2022-10-20 20:02:47.270,-121.7188333,37.3605,6.42,2.52,"10km E of Alum Rock, CA"
nn00849678,2022-10-20 15:46:16.512,-118.8638,38.0721,12.7,2.5,California-Nevada border region
nc73796981,2022-10-20 15:46:16.400,-118.8585,38.0658333,10.77,2.63,"21km SE of Bodie, CA"
nc73796946,2022-10-20 15:07:11.570,-121.401,40.1221667,14.26,2.68,"18km NW of Belden, CA"
nc73796766,2022-10-20 07:55:16.770,-123.5185,40.3495,33.05,4.32,"36km NE of Redway, CA"
nc73796026,2022-10-20 00:02:34.810,-122.8108333,38.816,1.68,3.22,"6km NW of The Geysers, CA"
nc71129239,2022-10-20 00:00:10.180,-122.8098333,38.8233333,1.72,2.55,"7km NW of The Geysers, CA"
nc73795956,2022-10-19 23:59:50.050,-122.8078333,38.8176667,2.43,3.27,"6km NW of The Geysers, CA"
nc73795966,2022-10-19 23:59:04.760,-122.8151667,38.8121667,3.26,3.33,"6km NW of The Geysers, CA"
nc73795876,2022-10-19 20:59:32.730,-124.2983333,40.3865,26.46,2.67,"7km N of Petrolia, CA"
nc73795221,2022-10-18 11:05:47.380,-121.605,36.1438333,11.15,2.65,"14km NNW of Lopez Point, CA"
nc73795046,2022-10-17 21:56:47.280,-122.7543333,38.7928333,0.76,2.55,"2km N of The Geysers, CA"
ci40362256,2022-10-17 05:25:28.830,-116.888,33.4506667,12.71,2.56,"2km WNW of Aguanga, CA"
nc73794591,2022-10-16 20:10:26.310,-118.8795,37.5195,5.76,2.83,"16km SE of Mammoth Lakes, CA"
nc73793981,2022-10-15 17:30:41.780,-122.7143333,38.765,1.69,3.14,"2km WSW of Anderson Springs, CA"
ci40360984,2022-10-14 17:24:22.310,-118.9916667,35.0453333,13.1,2.72,"13km NNW of Grapevine, CA"
nc73792771,2022-10-12 19:42:55.620,-123.0976667,39.0688333,5.41,2.73,"9km SE of Talmage, CA"
ci40359712,2022-10-12 12:54:07.000,-118.9958333,35.0486667,12.27,3.67,"13km NNW of Grapevine, CA"
ci40359472,2022-10-12 01:21:33.040,-118.2661667,33.8378333,10.75,2.52,"2km ENE of Carson, CA"
nc73792396,2022-10-12 00:28:36.750,-119.4411667,38.5498333,7.27,3.54,"5km NE of Walker, CA"
nc73792071,2022-10-11 06:47:42.690,-121.619,40.4825,16.83,2.75,"6km SE of Viola, CA"
ci40358456,2022-10-10 10:12:44.470,-117.5615,35.6735,7.9,2.88,"12km ENE of Ridgecrest, CA"
ci40358328,2022-10-09 21:48:21.120,-117.4841667,35.6578333,4.94,3.01,"14km SSW of Searles Valley, CA"
ci40357392,2022-10-07 22:45:05.470,-116.3546667,33.0413333,11.79,3.47,"23km E of Julian, CA"
ci40356608,2022-10-06 12:11:08.400,-115.5425,33.2083333,6.99,2.79,"4km SSW of Niland, CA"
ci40356576,2022-10-06 12:03:35.730,-115.5441667,33.2041667,5.8,2.84,"5km SSW of Niland, CA"
ci40356424,2022-10-06 05:29:53.930,-117.2246667,34.0243333,11.33,2.54,"4km SE of Loma Linda, CA"
nc73789551,2022-10-05 04:51:30.350,-120.0411667,37.3278333,19.55,3.01,"19km SSW of Mariposa, CA"
ci40355088,2022-10-03 16:08:09.970,-116.9215,33.9246667,7.62,3.01,"4km W of Banning, CA"
ci40354936,2022-10-03 08:24:33.660,-117.7646667,33.8696667,4.27,3.08,"5km ESE of Yorba Linda, CA"
ci40354880,2022-10-03 06:16:26.150,-115.8898333,32.9686667,11.76,2.71,"26km WSW of Westmorland, CA"
ci40353408,2022-09-30 11:50:11.750,-116.5131667,33.4803333,9.3,3.41,"17km ESE of Anza, CA"
ci40353312,2022-09-30 06:07:26.170,-116.9548333,34.0613333,13.24,2.53,"9km ENE of Yucaipa, CA"
